model_and_part,layer_idx,s_values,unfolding_mode,keep
bart_fc2_encoder,0,"[11.290871   4.3963923  4.375533   4.362167   4.349483   4.3340235
  4.328766   4.316954   4.30694    4.297601   4.2809854  4.2768216
  4.272636   4.2639246  4.2558603  4.2472787  4.2387686  4.2281938
  4.2268205  4.2150073  4.206719   4.202485   4.1924562  4.182126
  4.1799364  4.171838   4.1697783  4.162686   4.155289   4.1509786
  4.1463757  4.1391044  4.131352   4.124647   4.119161   4.110966
  4.1097326  4.095347   4.089206   4.085544   4.075886   4.0749826
  4.066561   4.0618224  4.0577636  4.0519214  4.0502734  4.0467396
  4.038432   4.0348134  4.0235124  4.0161953  4.013369   4.011242
  4.007051   4.000844   3.9975605  3.9937334  3.987905   3.9850266
  3.9803078  3.9741206  3.97344    3.9687676  3.9519866  3.9475508
  3.9470916  3.9431734  3.9383066  3.9320831  3.9255803  3.923331
  3.9196296  3.917254   3.9139714  3.9044995  3.899734   3.899131
  3.8893876  3.8858879  3.8844974  3.8782518  3.873487   3.8679318
  3.8632562  3.8591645  3.85618    3.847226   3.8460903  3.8398979
  3.8357582  3.8335752  3.8285432  3.8230102  3.820989   3.8155754
  3.8131618  3.8093839  3.8012488  3.796096   3.7945743  3.788018
  3.7844012  3.7825696  3.778428   3.7706418  3.7657564  3.7634134
  3.7603817  3.7571373  3.75502    3.7451212  3.741269   3.7385466
  3.7369397  3.7316544  3.7272727  3.7180429  3.717028   3.713735
  3.7095904  3.7030747  3.702593   3.6991231  3.6953378  3.6917613
  3.6866195  3.684058   3.6813369  3.6770568  3.6731133  3.669554
  3.6594825  3.65614    3.652146   3.6489577  3.645048   3.6420975
  3.6409392  3.6339939  3.6312163  3.6261308  3.6236138  3.619818
  3.6168     3.6141462  3.6124747  3.6096215  3.6047692  3.597364
  3.5892668  3.5873017  3.582518   3.58053    3.5761504  3.5706117
  3.5674317  3.5609024  3.5549567  3.554566   3.5535278  3.548526
  3.543033   3.540759   3.5398738  3.534568   3.530715   3.5270212
  3.5237439  3.5161872  3.515421   3.5112324  3.505821   3.50039
  3.494684   3.491013   3.4897864  3.48451    3.479795   3.4766867
  3.4699864  3.4691205  3.4650686  3.463748   3.462593   3.453312
  3.4501433  3.4468753  3.4464533  3.4403534  3.4353216  3.4327927
  3.4320264  3.4266646  3.4250066  3.418466   3.4146137  3.4104822
  3.4096262  3.4024155  3.4006739  3.3990037  3.393018   3.389862
  3.387907   3.3831     3.3801544  3.3742905  3.3700602  3.3682947
  3.3667936  3.3595028  3.359293   3.354704   3.3513129  3.3455606
  3.3414795  3.3388524  3.336133   3.333419   3.3297756  3.320639
  3.3192997  3.316299   3.3117828  3.3094122  3.307639   3.3020883
  3.2981014  3.291904   3.2887733  3.2847497  3.2821586  3.2809389
  3.2788131  3.2754688  3.2705698  3.266589   3.259348   3.256886
  3.2509997  3.2478786  3.2441905  3.2435262  3.2381299  3.2338648
  3.2284503  3.2243686  3.2203894  3.2183766  3.2138767  3.2113652
  3.2066023  3.203857   3.200185   3.1914086  3.1872938  3.1847856
  3.1829512  3.1780818  3.17485    3.171155   3.1684241  3.1651764
  3.1647034  3.1605144  3.1581986  3.1552727  3.149085   3.144895
  3.1405663  3.13899    3.1333072  3.1276176  3.1245453  3.119322
  3.1129675  3.111392   3.109363   3.1038847  3.1004865  3.0948272
  3.0926704  3.0876484  3.0822256  3.080237   3.0788815  3.0741882
  3.071789   3.0654078  3.063837   3.0602782  3.052008   3.0493083
  3.046232   3.040827   3.0367594  3.0333927  3.0319223  3.026082
  3.022438   3.0196183  3.0101113  3.0083866  3.0046453  3.002505
  3.000539   2.9962707  2.9913945  2.9860015  2.9831083  2.979351
  2.978418   2.9772243  2.9667907  2.962351   2.9610288  2.9532068
  2.9495606  2.9408407  2.9353716  2.9343107  2.9323916  2.928494
  2.9245899  2.9224617  2.9115322  2.9110188  2.9082224  2.9040952
  2.8972511  2.8903947  2.8890066  2.8839922  2.8822284  2.8711915
  2.8680182  2.867416   2.8640606  2.8618999  2.856697   2.8503387
  2.8484447  2.841903   2.8338397  2.8287382  2.8252897  2.8204076
  2.8179657  2.8156211  2.8070045  2.8028557  2.7986133  2.7926087
  2.7903948  2.7825139  2.7749577  2.7720275  2.7682297  2.7547293
  2.7503963  2.7453134  2.7427537  2.7376616  2.7341926  2.732234
  2.7184365  2.7078998  2.7075067  2.697178   2.6946068  2.6923416
  2.6835058  2.6818266  2.6762185  2.6689534  2.6571956  2.6427982
  2.636487   2.6361384  2.623256   2.611977   2.600255   2.5813596]",0,False
bart_fc2_encoder,0,"[11.015963    3.5968692   3.585126   ...  0.72576857  0.71884453
  0.71282595]",1,False
bart_fc2_encoder,0,"[11.573196   5.058746   5.0496597  5.023867   5.0065994  4.997843
  4.9838862  4.975428   4.9555163  4.950827   4.939749   4.9375963
  4.908532   4.902309   4.8880224  4.8854165  4.8731723  4.8600416
  4.8574176  4.852569   4.8396215  4.8297305  4.828691   4.8214893
  4.8137197  4.807268   4.801091   4.7915707  4.7876105  4.7699394
  4.7664485  4.758137   4.7543445  4.7488027  4.7322884  4.730158
  4.7293253  4.7216496  4.7028046  4.696644   4.693398   4.6906095
  4.680898   4.674722   4.67079    4.6641207  4.656814   4.6546574
  4.64948    4.6392355  4.6341977  4.630662   4.6229124  4.6129265
  4.608185   4.6052175  4.6029277  4.5956593  4.5825953  4.582291
  4.575063   4.5712433  4.5670686  4.5627284  4.559575   4.555848
  4.543308   4.5388336  4.537159   4.5320997  4.52834    4.5225716
  4.51651    4.5100245  4.5081925  4.5016336  4.4919424  4.4874406
  4.4840293  4.4801164  4.4728374  4.4694037  4.4666533  4.4634266
  4.4544616  4.4517207  4.440025   4.436309   4.431453   4.427077
  4.423262   4.420723   4.4153633  4.409522   4.402099   4.394638
  4.3928766  4.389217   4.3857207  4.3797135  4.3764176  4.368938
  4.361265   4.3573194  4.3493185  4.347961   4.34371    4.3372073
  4.331808   4.326061   4.3239837  4.3183537  4.312815   4.305331
  4.299488   4.297104   4.2901077  4.2871275  4.2806334  4.277027
  4.271258   4.2681003  4.2614307  4.2599173  4.252688   4.2459874
  4.2417192  4.2375097  4.233518   4.226439   4.216794   4.215138
  4.210847   4.2043023  4.2001395  4.191574   4.1892376  4.1825256
  4.178235   4.1736693  4.168317   4.1672206  4.162224   4.1589556
  4.153513   4.146422   4.1344833  4.1336155  4.129541   4.1220436
  4.1170945  4.115658   4.112923   4.106451   4.10114    4.092793
  4.089585   4.087283   4.0807996  4.0761986  4.0749087  4.0698743
  4.063109   4.052339   4.0492425  4.044897   4.0401015  4.03887
  4.030219   4.028977   4.024168   4.0199766  4.0168047  4.008503
  4.003188   3.9949622  3.9915273  3.9879942  3.982349   3.9752088
  3.97236    3.969719   3.9584622  3.9546075  3.9526     3.9443338
  3.9409795  3.935212   3.9349935  3.9264817  3.9223742  3.9213674
  3.9160774  3.9020696  3.8983583  3.8957286  3.8937693  3.8870664
  3.87985    3.8724482  3.8669236  3.8601089  3.8570714  3.8519278
  3.8451319  3.8358793  3.8335898  3.8300102  3.827378   3.8203177
  3.814018   3.8077648  3.802047   3.7983124  3.7958884  3.7852933
  3.784251   3.7773938  3.7635016  3.7628918  3.7576876  3.750789
  3.7462785  3.7362113  3.7285666  3.7276614  3.7195604  3.7116854
  3.6993358  3.695512   3.6936011  3.6853366  3.684828   3.677148
  3.6688943  3.664537   3.6514003  3.6443129  3.6429572  3.6421995
  3.6315753  3.626647   3.625361   3.6095967  3.6037889  3.597856
  3.5818405  3.5780056  3.5671675  3.552761   3.5373816  3.5326788
  3.523119   3.5099974  3.4922202  3.458342 ]",2,False
bart_fc2_encoder,1,"[7.5369315 4.4867306 4.468005  4.457168  4.4328146 4.410204  4.405372
 4.3941183 4.3862057 4.385015  4.3770404 4.364566  4.354123  4.3425455
 4.340786  4.331934  4.3267713 4.3168707 4.3131495 4.3052053 4.291306
 4.2891164 4.275938  4.266667  4.2628837 4.248677  4.24527   4.2397184
 4.23708   4.2259035 4.219227  4.215061  4.2118835 4.207456  4.19916
 4.1966896 4.189635  4.1834087 4.1748357 4.1695824 4.167046  4.157064
 4.1506248 4.14789   4.135318  4.1277103 4.1223702 4.116918  4.114836
 4.112998  4.1092277 4.0971966 4.092146  4.0899653 4.085597  4.080845
 4.079072  4.065316  4.062546  4.0581436 4.055983  4.053621  4.0483627
 4.0404897 4.0357785 4.0341306 4.0271797 4.023062  4.0183425 4.013539
 4.009476  4.0050173 4.003961  3.992416  3.9904077 3.9849093 3.979099
 3.974533  3.9706397 3.9645965 3.9608264 3.9549518 3.951174  3.9485693
 3.9440475 3.9406393 3.933152  3.926366  3.9244773 3.917015  3.9157197
 3.909795  3.9058912 3.8999293 3.8935037 3.8878372 3.8838995 3.88357
 3.8793108 3.876814  3.87217   3.8689265 3.8632746 3.8569705 3.8532915
 3.8514173 3.848867  3.8452365 3.8412561 3.832372  3.8312035 3.8271818
 3.8225875 3.8194916 3.8189516 3.8163898 3.804025  3.7991505 3.7953734
 3.7879727 3.7841544 3.7811112 3.777584  3.774473  3.7697246 3.7681925
 3.764357  3.7567787 3.7528064 3.7508101 3.7445157 3.742565  3.7412183
 3.7356236 3.7270267 3.7248003 3.722363  3.7215626 3.7127345 3.7087145
 3.7073174 3.7045999 3.7022758 3.697011  3.690597  3.6879375 3.6827955
 3.6794157 3.6756732 3.6690915 3.663449  3.6574805 3.65671   3.651549
 3.6483757 3.6439977 3.64033   3.635673  3.6346247 3.6332717 3.6291845
 3.6256294 3.6207604 3.6177692 3.6124787 3.608857  3.6059225 3.6048734
 3.597571  3.5916793 3.5880158 3.5829034 3.5775476 3.5763083 3.5728176
 3.5691488 3.5637662 3.5609293 3.556277  3.5538247 3.550659  3.5452182
 3.5406995 3.5366623 3.5347006 3.530471  3.5267086 3.5238392 3.51625
 3.512325  3.5078325 3.5031002 3.5014968 3.4983416 3.493404  3.488644
 3.4847093 3.4825914 3.4782987 3.4715626 3.4699697 3.4664423 3.4650235
 3.4583895 3.4556048 3.453714  3.448851  3.4444163 3.4414368 3.4353006
 3.432439  3.4301748 3.4198372 3.4188547 3.4132032 3.4112976 3.4090514
 3.4061234 3.3994713 3.3963969 3.3950746 3.3894358 3.3857276 3.3800304
 3.3767993 3.3748949 3.369585  3.3666837 3.3638015 3.3578908 3.3559372
 3.3520885 3.3478696 3.3423076 3.339348  3.3333633 3.3323448 3.331829
 3.3223429 3.3195894 3.317577  3.3133523 3.3112407 3.3069472 3.3032904
 3.2992072 3.2974145 3.2909064 3.2870758 3.283537  3.2806914 3.2772255
 3.2738764 3.2700725 3.2626145 3.2613683 3.255596  3.2515268 3.2476645
 3.2469313 3.2422724 3.2419968 3.238257  3.2300434 3.2279973 3.2210581
 3.2172    3.2148938 3.2140195 3.2094605 3.205952  3.2025821 3.1957247
 3.1935148 3.1898925 3.1848323 3.180296  3.177403  3.1701107 3.1680765
 3.1680293 3.1622615 3.158108  3.148291  3.1441655 3.1418998 3.1388934
 3.135328  3.1291144 3.1245415 3.1208856 3.1181462 3.1153233 3.110994
 3.1069012 3.1048748 3.1038556 3.098634  3.0973976 3.0911527 3.088603
 3.0821767 3.079884  3.0727062 3.0693696 3.0620263 3.0604875 3.0563352
 3.0522404 3.0479107 3.0411115 3.039593  3.0313826 3.0300138 3.0235765
 3.022621  3.0148292 3.0113964 3.0070796 3.0049067 3.0019813 2.9918818
 2.9876072 2.9851408 2.978434  2.9725263 2.970028  2.9642296 2.9594975
 2.9534383 2.9500504 2.948796  2.9453294 2.9397619 2.9298546 2.92942
 2.9265778 2.9232662 2.9202476 2.9126334 2.9066374 2.9004333 2.897309
 2.893034  2.8880808 2.8829043 2.8759968 2.873202  2.8695323 2.8656256
 2.858963  2.854665  2.8519962 2.8493824 2.8357096 2.8324945 2.8307168
 2.8136203 2.8104882 2.805662  2.8042486 2.795562  2.7908068 2.786566
 2.7795384 2.7763827 2.7689846 2.7621121 2.7577376 2.7535448 2.7471666
 2.7373965 2.7356539 2.72614   2.721192  2.7135937 2.7063746 2.7008522
 2.6936014 2.6838095 2.6652718 2.6609254 2.6536236 2.6246202]",0,True
bart_fc2_encoder,1,[6.9974174  3.680299   3.6493392  ... 0.7441331  0.7353812  0.72984546],1,True
bart_fc2_encoder,1,"[7.831584  5.201349  5.167395  5.1413016 5.1326933 5.1207776 5.1050863
 5.0864205 5.081968  5.0758123 5.04923   5.037522  5.023097  5.0140047
 5.004747  4.9959736 4.979988  4.9761753 4.9606633 4.9490547 4.9465814
 4.9386425 4.9294324 4.9272213 4.9156623 4.9056826 4.9003725 4.893186
 4.88703   4.8860736 4.8763604 4.8705664 4.860803  4.8551717 4.8416767
 4.836419  4.828704  4.827225  4.8176484 4.808505  4.8057175 4.798611
 4.7929926 4.7919908 4.7828803 4.7739496 4.7696357 4.760507  4.7571774
 4.7482224 4.742938  4.7337694 4.7254176 4.7235603 4.709673  4.707818
 4.7006407 4.691393  4.6870427 4.6820188 4.6752753 4.665899  4.662226
 4.655832  4.6515408 4.64193   4.6324754 4.631086  4.6243773 4.622315
 4.6206827 4.6123357 4.60598   4.6030383 4.5965075 4.589792  4.5852375
 4.5728893 4.572425  4.5617847 4.559445  4.5554214 4.5514994 4.549659
 4.5476832 4.536895  4.5327907 4.5267415 4.5183964 4.5178304 4.505938
 4.500521  4.493923  4.48895   4.4844084 4.480584  4.4755898 4.471381
 4.46901   4.460794  4.4527593 4.4462047 4.4393883 4.4346027 4.4317417
 4.4290724 4.426122  4.4201574 4.41295   4.409887  4.405676  4.4035783
 4.3930554 4.39059   4.386356  4.3795137 4.3730774 4.3706856 4.366125
 4.3649864 4.362201  4.351648  4.3478694 4.340471  4.336467  4.330873
 4.32395   4.3199267 4.31492   4.3113956 4.3021154 4.298825  4.297982
 4.290422  4.288899  4.285738  4.278757  4.272957  4.2701774 4.2655916
 4.255802  4.2537436 4.2466826 4.239148  4.2343917 4.230855  4.2283726
 4.219703  4.2116446 4.20581   4.201241  4.1984935 4.193999  4.1860414
 4.182073  4.1792    4.174615  4.168602  4.161631  4.1566586 4.150061
 4.146776  4.1438413 4.1389313 4.133298  4.1296763 4.1227245 4.120842
 4.115408  4.1121254 4.1042767 4.1033783 4.09288   4.0908823 4.084363
 4.0788875 4.0716157 4.065858  4.063883  4.054854  4.053684  4.0503135
 4.0491014 4.035645  4.0330796 4.0274987 4.023779  4.0207644 4.008478
 4.0056467 3.9996958 3.9972754 3.9968162 3.9875913 3.9824126 3.9791152
 3.9756467 3.963778  3.9585814 3.9521883 3.9497302 3.9377024 3.9324608
 3.922569  3.9191978 3.9121702 3.9072635 3.9070408 3.8966343 3.890951
 3.8856397 3.8824425 3.8688486 3.865966  3.863159  3.8599133 3.8464153
 3.845428  3.8334575 3.8302522 3.8212206 3.816385  3.8105984 3.7987366
 3.796599  3.7920678 3.7788632 3.7764792 3.7687166 3.7629855 3.7584126
 3.7533658 3.7475932 3.7431319 3.7299757 3.719546  3.7168517 3.7116952
 3.7004182 3.6929107 3.675034  3.6738024 3.6678298 3.6637578 3.6562982
 3.6528833 3.6459513 3.6426435 3.626147  3.605615  3.5950508 3.5904756
 3.5831053 3.571936  3.5319164 3.4918115]",2,True
bart_fc2_encoder,2,"[7.2708254 5.3254433 4.756382  4.738753  4.700805  4.693751  4.6746693
 4.669511  4.652519  4.6425295 4.6374803 4.627614  4.6163545 4.6077676
 4.5946956 4.590551  4.5774035 4.5677547 4.564285  4.5541286 4.552059
 4.5414686 4.5351396 4.5243006 4.51523   4.5051117 4.5010033 4.4880533
 4.483192  4.476768  4.472833  4.463155  4.4534926 4.4482408 4.445352
 4.433138  4.43183   4.4212127 4.41847   4.411478  4.409398  4.3980484
 4.3946247 4.390248  4.3775306 4.3720965 4.3645053 4.3567977 4.3501925
 4.3456593 4.3428774 4.3333416 4.3281417 4.3174925 4.31698   4.3088703
 4.307719  4.2977576 4.297103  4.294866  4.2874675 4.2804856 4.276016
 4.2714233 4.262971  4.2576547 4.2518954 4.247682  4.2415466 4.2376647
 4.2334857 4.2292876 4.2223935 4.220725  4.213775  4.207802  4.202361
 4.193582  4.1904745 4.1885753 4.186945  4.173558  4.1698456 4.165628
 4.1581435 4.151289  4.148917  4.1460853 4.139238  4.137928  4.1313586
 4.126702  4.1226735 4.116788  4.1114435 4.108514  4.1025486 4.095936
 4.094112  4.084612  4.0809875 4.080556  4.075769  4.0698514 4.059991
 4.058617  4.0562606 4.054075  4.050176  4.048225  4.0387735 4.034945
 4.0324855 4.0291843 4.0191703 4.012095  4.0088468 4.0051546 4.0030527
 4.000436  3.9960487 3.9945679 3.9902925 3.9847991 3.9782925 3.976065
 3.9721293 3.9651842 3.9613585 3.9551308 3.9500864 3.9423504 3.9401734
 3.9355636 3.9323826 3.926818  3.9210386 3.9181757 3.914375  3.9118445
 3.9060493 3.905087  3.9018238 3.8950312 3.8877509 3.8857858 3.8821175
 3.8800194 3.8762279 3.8671992 3.8581944 3.8549256 3.8499577 3.844205
 3.8427877 3.841227  3.8349476 3.833593  3.8291411 3.8257868 3.8205829
 3.8138683 3.812138  3.8070447 3.8027916 3.7979949 3.792247  3.7908993
 3.7831166 3.7767842 3.7697477 3.7682242 3.765753  3.763035  3.7625692
 3.7523353 3.7490284 3.7453046 3.7443519 3.7411113 3.7362013 3.7341166
 3.7316904 3.7283714 3.7224417 3.7159107 3.7137668 3.7094378 3.7088687
 3.702838  3.6999774 3.695341  3.6901236 3.6873415 3.6806796 3.6790404
 3.6770566 3.6723912 3.6669877 3.6600096 3.6541452 3.6526597 3.6502168
 3.6473954 3.64202   3.6378865 3.6345732 3.6334305 3.6245499 3.6204798
 3.6198502 3.6099272 3.6082873 3.6059086 3.601993  3.593664  3.5882895
 3.5859175 3.5812984 3.5779264 3.5765584 3.5747302 3.568907  3.5651493
 3.556147  3.5552504 3.5461516 3.5444925 3.538523  3.536759  3.5297098
 3.528753  3.524293  3.522585  3.5157888 3.5124173 3.506529  3.4994483
 3.4956748 3.4930654 3.491114  3.485634  3.4840415 3.4781916 3.4751463
 3.4704409 3.4667847 3.4647784 3.4613283 3.4555097 3.4502342 3.4447849
 3.440951  3.4374163 3.4346447 3.432047  3.4293058 3.4218144 3.4166663
 3.414986  3.4124215 3.4074905 3.402508  3.3971136 3.3951554 3.3882663
 3.384286  3.3841982 3.3778121 3.3753197 3.3673394 3.364089  3.358236
 3.357509  3.353747  3.3459518 3.341885  3.336827  3.3365486 3.3299956
 3.3272107 3.3257275 3.322352  3.3153691 3.3124893 3.30763   3.3044732
 3.2926571 3.2901685 3.2893894 3.282555  3.2808425 3.2777395 3.274349
 3.2679198 3.2622545 3.2581077 3.2546105 3.2496426 3.2459128 3.2411444
 3.2335117 3.2327898 3.2283828 3.2237222 3.2190351 3.214156  3.210732
 3.2053726 3.201911  3.1990702 3.187991  3.181701  3.1799595 3.1732407
 3.1694717 3.166626  3.1593034 3.1543565 3.1483574 3.1457233 3.1412017
 3.1360862 3.1321754 3.1272848 3.1255953 3.1193714 3.1155782 3.1123576
 3.1113846 3.1068113 3.1051598 3.0993867 3.0942824 3.0851736 3.0810533
 3.0763626 3.0712419 3.068987  3.060746  3.054392  3.0473678 3.0455983
 3.0379634 3.0343835 3.0299752 3.0263155 3.0219193 3.0133362 3.008817
 3.0049791 3.0008354 2.9966366 2.9893408 2.9849753 2.979418  2.973186
 2.9680429 2.9583364 2.9531302 2.951416  2.9448423 2.936977  2.9327674
 2.9287565 2.924153  2.9208121 2.9076884 2.9025197 2.898728  2.8891816
 2.880123  2.8765354 2.8726828 2.8649914 2.847201  2.8384335 2.8357728
 2.8296463 2.8270154 2.8139195 2.8026814 2.7863379 2.777299 ]",0,True
bart_fc2_encoder,2,[6.6441283  4.4077234  3.8702989  ... 0.77504283 0.7668876  0.7595382 ],1,True
bart_fc2_encoder,2,"[7.664216  5.884317  5.4782186 5.435743  5.429453  5.4069605 5.3994293
 5.388101  5.371664  5.361263  5.35178   5.333717  5.3275967 5.3016024
 5.2973046 5.2753644 5.269093  5.254859  5.2479258 5.2394524 5.231827
 5.22197   5.21158   5.206645  5.189407  5.18673   5.182202  5.1724668
 5.164896  5.1537952 5.150402  5.1432366 5.136511  5.128703  5.1195145
 5.1096177 5.105691  5.096328  5.0876107 5.083394  5.0782404 5.0643597
 5.053691  5.0488825 5.0391083 5.0363727 5.0292616 5.0232744 5.0169773
 5.0147076 5.0064774 5.0039797 4.9932613 4.9809933 4.977006  4.9640374
 4.9593077 4.9530954 4.941533  4.936236  4.932053  4.92485   4.9205666
 4.917752  4.9134808 4.909375  4.9032273 4.8932614 4.885472  4.879004
 4.876676  4.8756237 4.864768  4.859577  4.8536167 4.8476224 4.840563
 4.8308153 4.826915  4.815004  4.8097496 4.808964  4.801532  4.799362
 4.7974124 4.79044   4.7810006 4.774026  4.766522  4.7566752 4.7529626
 4.748417  4.7418494 4.735785  4.732728  4.727997  4.7180424 4.714437
 4.711953  4.706052  4.69396   4.688949  4.688419  4.6767826 4.673708
 4.6692524 4.6628904 4.6569624 4.6498804 4.6488967 4.645099  4.6348095
 4.6296015 4.62322   4.6187005 4.614619  4.6098337 4.604309  4.602326
 4.5985703 4.5887213 4.5821886 4.57788   4.5712194 4.5607314 4.558111
 4.554532  4.5496707 4.539308  4.535736  4.5319967 4.5287013 4.5228987
 4.5155144 4.5144377 4.5082994 4.498034  4.496591  4.4905005 4.488265
 4.481028  4.4780164 4.4708524 4.464274  4.4595814 4.451098  4.4494553
 4.4387035 4.43788   4.4341235 4.429197  4.4245605 4.418719  4.4156055
 4.4118085 4.4027247 4.401121  4.393323  4.386597  4.38127   4.375124
 4.370526  4.3647976 4.3602924 4.3540235 4.349277  4.347983  4.338323
 4.3276043 4.3244677 4.3159304 4.313176  4.3108974 4.301572  4.2959824
 4.29323   4.2833004 4.2791414 4.2746234 4.2658687 4.262232  4.2582974
 4.253254  4.2449107 4.2433524 4.2394032 4.230923  4.2263417 4.2229705
 4.213666  4.209664  4.205903  4.19863   4.1879907 4.182466  4.178028
 4.1766644 4.1651945 4.1624904 4.154037  4.1500278 4.143973  4.137669
 4.1296167 4.1263666 4.122488  4.117747  4.111466  4.1037283 4.0932245
 4.088078  4.086567  4.0838842 4.0769453 4.062391  4.056612  4.0535264
 4.0518007 4.0433664 4.037987  4.0350943 4.0222154 4.017282  4.0091553
 4.003368  3.9995568 3.9939735 3.9894679 3.9860137 3.985199  3.9751673
 3.9551938 3.9523344 3.9446192 3.938281  3.9319456 3.916523  3.913172
 3.9090567 3.891888  3.8830469 3.8765128 3.8748715 3.8674192 3.8520544
 3.8499634 3.8375785 3.8275762 3.7966814 3.7911596 3.7812798 3.769188
 3.7513516 3.7439115 3.7183974 3.656362 ]",2,True
bart_fc2_encoder,3,"[7.2211456 4.4663415 4.444929  4.438495  4.433148  4.416646  4.4048843
 4.370762  4.361363  4.3528323 4.343853  4.330324  4.327719  4.3093953
 4.299533  4.290437  4.2850347 4.2751737 4.271062  4.2637763 4.2572303
 4.2496295 4.2461653 4.245494  4.2337294 4.227245  4.2161956 4.2140574
 4.2079268 4.199197  4.1957254 4.1855245 4.1768165 4.1736636 4.1566463
 4.1519456 4.1469    4.142134  4.1361833 4.123168  4.1197343 4.1146364
 4.112002  4.109581  4.1017714 4.0953884 4.0922036 4.0826135 4.0800734
 4.073378  4.0700474 4.0648217 4.055031  4.04956   4.0436044 4.038573
 4.0356174 4.0299325 4.0223746 4.0199256 4.010549  4.00042   3.999723
 3.9965653 3.995473  3.9856386 3.982773  3.9745    3.971466  3.9695883
 3.9655502 3.9629703 3.9555254 3.9510803 3.9496443 3.942885  3.9365473
 3.9298563 3.9250498 3.920464  3.913982  3.9106257 3.906529  3.9004636
 3.8935637 3.890319  3.885921  3.8772478 3.875894  3.8732638 3.8697395
 3.867278  3.8607256 3.8543837 3.8490627 3.845236  3.8375635 3.8351173
 3.8312786 3.825699  3.8244526 3.8202531 3.8190815 3.8154051 3.8117807
 3.8062613 3.8009315 3.7972927 3.794489  3.789353  3.7827199 3.778707
 3.7666364 3.7662091 3.7614832 3.7571542 3.7475688 3.7455447 3.7425632
 3.7398717 3.7367203 3.7353148 3.7326033 3.7260115 3.7204595 3.7137282
 3.7129197 3.7090752 3.7031345 3.698765  3.6955729 3.6892555 3.682298
 3.6797922 3.67639   3.671474  3.6677644 3.6655235 3.6610096 3.6593435
 3.6530647 3.649379  3.6452923 3.6425536 3.6401026 3.638997  3.6327806
 3.630483  3.6268854 3.62152   3.6126025 3.610632  3.6089196 3.6047664
 3.5994802 3.593932  3.592879  3.5885587 3.5835788 3.5751307 3.5720851
 3.570059  3.5664327 3.5617254 3.5592947 3.5525904 3.5516548 3.5487366
 3.5442832 3.5377586 3.5357878 3.5318735 3.5214772 3.5208247 3.519283
 3.5163267 3.5132716 3.508121  3.5053475 3.5017536 3.5005345 3.4967535
 3.493502  3.4881837 3.4821215 3.4795585 3.4735665 3.4701555 3.464772
 3.460702  3.456996  3.4539297 3.4508023 3.449448  3.4455612 3.4376788
 3.4339597 3.427397  3.4246113 3.42436   3.4212446 3.4154742 3.4118166
 3.4072049 3.4042928 3.3975518 3.3946922 3.3905778 3.38781   3.3859596
 3.3801773 3.3772678 3.375497  3.3709235 3.3652394 3.3604627 3.3601415
 3.3518353 3.3459234 3.3421402 3.3385332 3.335886  3.3310626 3.3291707
 3.3275328 3.3259845 3.319953  3.316793  3.3108423 3.3065295 3.3032055
 3.3012989 3.2975202 3.2925403 3.289882  3.2844596 3.2801354 3.2790184
 3.272889  3.2711446 3.2643845 3.2623184 3.258151  3.2544725 3.2530878
 3.2475076 3.2448363 3.2425013 3.241762  3.235434  3.2286854 3.2210193
 3.2187452 3.2151308 3.2128272 3.208013  3.2059095 3.203505  3.2000978
 3.1903577 3.1873615 3.1836905 3.179979  3.1767976 3.171426  3.1708064
 3.1649144 3.1597955 3.1551282 3.1490831 3.148629  3.1446238 3.142669
 3.1333537 3.1321037 3.1276135 3.1267655 3.123428  3.1179073 3.1164546
 3.110181  3.1032913 3.100561  3.094782  3.0925252 3.0894406 3.0823863
 3.080386  3.0777233 3.0704    3.0670748 3.0638509 3.0589106 3.056281
 3.0503013 3.0484216 3.0423844 3.039019  3.0364447 3.032927  3.0283875
 3.0263247 3.0232291 3.022734  3.0203085 3.0061154 3.003749  3.0014048
 2.997645  2.9933813 2.9901905 2.9848945 2.9799354 2.9761014 2.970942
 2.9664073 2.9626324 2.9576428 2.9533317 2.9498074 2.9459198 2.9369183
 2.933716  2.922896  2.9216845 2.9173405 2.9147758 2.9061763 2.9036784
 2.9017124 2.8970666 2.895581  2.8917353 2.8874757 2.8848886 2.8754396
 2.8675272 2.862628  2.8608587 2.8584495 2.8557584 2.8476171 2.847307
 2.8445556 2.8353424 2.8325312 2.8242962 2.820419  2.8155985 2.8081517
 2.8051    2.8012924 2.7987351 2.7805324 2.779671  2.7740214 2.7675807
 2.765358  2.7641773 2.762028  2.7493367 2.7442343 2.7378948 2.7269838
 2.724981  2.71965   2.7144077 2.7138987 2.709881  2.7025945 2.6965718
 2.694861  2.6881776 2.672837  2.6691575 2.652083  2.6461751 2.6365795
 2.6316085 2.6236537 2.6151178 2.6008031 2.5951514 2.5712526]",0,True
